address,sniff_provider,phone_num,times,
"יציאת אירופה 1, דימונה, אזור ד'",שירותי בריאות כללית,08-6503222,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת  נגישות לנכים
"יציאת אירופה 13, חדרה, בית אליעזר",שירותי בריאות כללית,04-6245400,"Opening_hours   שעות פעילות  ימים א', ג' יום ב' ימים ד', ה' יום ו'   7:30 - 13:00, 16:00 - 19:00  7:30 - 15:00  7:30 - 13:00  8:00 - 12:00  חוה""מ:	 08:00 - 13:00
ערב חג:08:00 - 12:00
חג:	 00:00 - 01:00  צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בדיקומט  שירותי ביקור בית נגישות לנכים
"יציב יצחק 26, קריית חיים חיפה",שירותי בריאות כללית,04-8470011,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה בדיקומט בית מרקחת פיזיותרפיה  נגישות לנכים
יקום,שירותי בריאות כללית,09-9524241,"Opening_hours   שעות פעילות  ימים א', ב', ו' ימים ג', ד' יום ה'   7:00 - 12:00  7:00 - 14:00  7:00 - 12:00, 16:00 - 18:30  חוה""מ:	 07:00 - 12:00
ערב חג:07:00 - 12:00
חג:	 00:00 - 01:00  צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת  טיפול בתאונות עבודה שירותי ביקור בית
"יקינטון 3, נצרת עילית (נוף הגליל)",לאומית שירותי בריאות,04-6000243,"Opening_hours   שעות פעילות  יום א' ימים ב', ה' ימים ג', ד' יום ו'   14:00 - 19:00  8:30 - 12:00, 17:00 - 19:00  15:00 - 19:00  10:00 - 15:00   צפה בשעות הפעילות", בדיקות מעבדה אולטרה סאונד
"יקיר, ד.נ השומרון",לאומית שירותי בריאות,09-7923461,"Opening_hours   שעות פעילות  יום א' יום ב' יום ג' יום ה' יום ו'   7:30 - 9:00, 11:30 - 14:30  12:30 - 15:00  16:30 - 19:00  7:00 - 10:30  7:30 - 10:00   צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת
יראון,שירותי בריאות כללית,04-6868313,"Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:00 - 9:00, 11:00 - 13:00  7:30 - 8:30, 9:30 - 12:00   צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה  נגישות לנכים
"ירושלים 17, בני ברק",מאוחדת,03-6152626,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   8:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת מוניטור מרפאת נשים מכון גסטרואנטרולוגי   עוד פרטים  שירותים סוציאליים יועצי תזונה
"ירושלים 21, ראשון לציון",שירותי בריאות כללית,03-9599300,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה  נגישות לנכים
"ירושלים 39, קיראון קרית אונו",מכבי שירותי בריאות,03-5304111,"Opening_hours   שעות פעילות  ימים א', ג' ימים ב', ד', ה'   8:00 - 12:00, 16:00 - 18:00  8:00 - 12:00   צפה בשעות הפעילות", טיפת חלב שירות אחיות בדיקות מעבדה פיזיותרפיה  שירותים סוציאליים ריפוי בעיסוק
"ירושלים 72, צפת",מכבי שירותי בריאות,04-6920165,"Opening_hours   שעות פעילות  ימים א' - ג', ה' יום ד'   8:00 - 12:00, 16:00 - 18:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה פיזיותרפיה  שירותים סוציאליים שירותי ביקור בית
"ירושלים השלמה 2, אילת",שירותי בריאות כללית,08-6381111,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה  חמצן למרותקי בית שירותי ביקור בית נגישות לנכים
"ירושלים, אום טובא אל שיפא",לאומית שירותי בריאות,02-9911006,"Opening_hours פתוח  עד 22:00  שעות פעילות  ימים א' - ה', שבת יום ו'   8:00 - 22:00  8:00 - 11:00, 16:00 - 22:00   צפה בשעות הפעילות", מכון רנטגן
"ירושלים, אל אקצא",שירותי בריאות כללית,02-6730334,Opening_hours   שעות פעילות  7 ימים בשבוע   8:00 - 23:59   צפה בשעות הפעילות, בדיקות מעבדה מכון רנטגן  נגישות לנכים
"ירושלים, אלבייאן כפר עקב",שירותי בריאות כללית,02-5839006,"Opening_hours פתוח  עד 23:00  שעות פעילות  ימים א' - ה', שבת יום ו'   8:00 - 23:00  15:00 - 23:00   צפה בשעות הפעילות", בדיקות מעבדה מכון רנטגן
"ירושלים, אלראג'חי קלנדיה, צומת קלנדיה",שירותי בריאות כללית,02-6563307,"Opening_hours   שעות פעילות  ימים א' - ה', שבת   8:00 - 22:00   צפה בשעות הפעילות", בדיקות מעבדה  נגישות לנכים
"ירושלים, בית צפפא",לאומית שירותי בריאות,02-6799511,"Opening_hours   שעות פעילות  ימים א' - ה', שבת יום ו'   7:30 - 22:00  16:00 - 22:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת אולטרה סאונד
"ירושלים, המרפאה האוסטרית העיר העתקיה",שירותי בריאות כללית,02-6273246,"Opening_hours פתוח  עד 20:00  שעות פעילות  ימים א' - ה', שבת יום ו'   8:00 - 20:00  11:00 - 15:00   צפה בשעות הפעילות", בדיקות מעבדה מכון רנטגן  נגישות לנכים
"ירושלים, זגייר ענאתא",שירותי בריאות כללית,02-5821202,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה  נגישות לנכים
"ירושלים, ח.ע. זגייר",שירותי בריאות כללית,02-5327059,Opening_hours פתוח  עד 22:00  שעות פעילות  7 ימים בשבוע   8:00 - 22:00   צפה בשעות הפעילות, בדיקות מעבדה מכון רנטגן אולטרה סאונד  נגישות לנכים
"ירושלים, חליל סקאקייני 5, בית חנינה",שירותי בריאות כללית,02-5854347,"Opening_hours פתוח  עד 23:59  שעות פעילות  ימים א' - ה', שבת יום ו'   8:00 - 23:59  9:00 - 23:59   צפה בשעות הפעילות", בדיקות מעבדה מכון רנטגן אולטרה סאונד  נגישות לנכים
"ירושלים, סור באהר",לאומית שירותי בריאות,02-6712221,Opening_hours   שעות פעילות  7 ימים בשבוע   8:00 - 22:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת אולטרה סאונד
"ירושלים, סילוואן עין אללוזה",שירותי בריאות כללית,02-6733715,"Opening_hours   שעות פעילות  ימים א' - ה', שבת יום ו'   8:00 - 23:59  15:00 - 22:00   צפה בשעות הפעילות", נגישות לנכים
"ירושלים, רח' פייר ואן בא",מאוחדת,02-5678111,"Opening_hours   שעות פעילות  ימים א' - ה', שבת   8:00 - 10:00   צפה בשעות הפעילות", שירות אחיות
"ירושלמי 11, תל אביב, בבלי",שירותי בריאות כללית,03-5433520,"Opening_hours   שעות פעילות  ימים א', ג' ימים ב', ה' יום ד' יום ו'   7:30 - 12:30, 15:30 - 19:00  7:30 - 16:00  7:30 - 13:30  7:30 - 12:00  
חוה""מ:	 07:30 - 12:30
ערב חג:07:30 - 12:30  צפה בשעות הפעילות", בדיקות מעבדה בדיקומט בית מרקחת  נגישות לנכים
ירחיב,שירותי בריאות כללית,03-9387735,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת
"ירכא, כפר ירכא חדש גד",מאוחדת,04-9567904,"Opening_hours   שעות פעילות  ימים א', ד' יום ב' ימים ג', ה' יום ו'   8:00 - 13:00  8:00 - 12:00  8:00 - 12:00, 16:00 - 19:00  9:00 - 13:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  יועצי תזונה
"ירכא, ליד המועצה המקומית",שירותי בריאות כללית,04-9961188,"Opening_hours   שעות פעילות  ימים א', ג', ד' ימים ב', ה'   8:00 - 16:00  10:00 - 18:00   צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת  נגישות לנכים
"ירכא, ליד העירייה",לאומית שירותי בריאות,04-9562757,"Opening_hours   שעות פעילות  ימים א', ה' ימים ב', ג' ימים ד', ו'   8:00 - 14:00  8:00 - 13:00, 16:00 - 19:00  8:00 - 13:00   צפה בשעות הפעילות", בדיקות מעבדה אולטרה סאונד  רפואה משלימה
"ירמיהו 19, ירושלים",מאוחדת,02-5444222,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   8:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת אולטרה סאונד מוניטור מרפאת נשים   עוד פרטים  יועצי תזונה
"ירקוני עמוס 8, באר שבע",מאוחדת,08-6483404,"Opening_hours   שעות פעילות  ימים א', ג' ימים ב', ד' יום ה' יום ו'   8:00 - 12:30, 16:00 - 19:00  8:00 - 12:30  8:00 - 16:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה
"ישמח ישראל 1, ביתר עילית",לאומית שירותי בריאות,02-5887300,Opening_hours פתוח  עד 19:00  שעות פעילות  ימים א' - ה' יום ו'   8:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת אולטרה סאונד
"ישמח ישראל 1, ביתר עילית",מכבי שירותי בריאות,02-5724800,"Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   8:00 - 12:30, 16:00 - 18:30  8:00 - 12:00   צפה בשעות הפעילות", טיפת חלב שירות אחיות בדיקות מעבדה פיזיותרפיה  שירותים סוציאליים
"ישעיהו 44, חולון, נווה ארזים",שירותי בריאות כללית,03-6504600,"Opening_hours   שעות פעילות  ימים א', ה' ימים ב', ג' יום ד' יום ו'   7:30 - 13:00, 15:30 - 19:00  7:30 - 15:30  7:30 - 13:30  8:00 - 12:00  
חוה""מ:	 07:30 - 13:00
ערב חג:07:30 - 13:00  צפה בשעות הפעילות", בדיקות מעבדה בדיקומט  נגישות לנכים
כאבול,שירותי בריאות כללית,04-9940922,"Opening_hours   שעות פעילות  ימים א', ג', ד' ימים ב', ה' יום ו'   8:00 - 16:00  10:00 - 18:00  8:00 - 12:00   צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת  נגישות לנכים
כאוכב אבו אלהיג'א,לאומית שירותי בריאות,04-9998480,"Opening_hours   שעות פעילות  ימים א', ה' יום ג' ימים ד', שבת   8:00 - 11:00  16:00 - 18:30  14:00 - 17:00   צפה בשעות הפעילות", בדיקות מעבדה
כאוכב אבו אלהיג'א,שירותי בריאות כללית,04-6641100,"Opening_hours   שעות פעילות  ימים א', ג' יום ב' יום ד' יום ה' יום ו'   8:00 - 15:00  8:00 - 16:00  8:00 - 13:00  10:00 - 17:00  8:00 - 12:00   צפה בשעות הפעילות", בדיקות מעבדה  נגישות לנכים
כברי,שירותי בריאות כללית,04-9952644,"Opening_hours   שעות פעילות  ימים א', ה' יום ב' יום ג' ימים ד', ו' יום שבת   7:00 - 13:00  9:30 - 13:00, 14:00 - 17:00  10:30 - 19:00  10:30 - 13:00  12:15 - 12:45  חוה""מ:	08:00 - 13:00
ערב חג:	08:00 - 12:00  צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה  נגישות לנכים
"כהנמן 64, בני ברק, מזרח",מכבי שירותי בריאות,03-5771313,"Opening_hours ייפתח ביום ה' ב-8:00  שעות פעילות  ימים א', ג', ה' ימים ב', ד'   8:00 - 12:00, 16:00 - 18:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מכון סוכרת  שירותים סוציאליים
"כהנמן 86, בני ברק",לאומית שירותי בריאות,03-6717700,"Opening_hours ייפתח ב-15:00  שעות פעילות  יום א' ימים ב', ג' יום ד' יום ה' יום ו'   8:00 - 12:30, 16:00 - 18:30  8:00 - 12:30  8:00 - 12:30, 15:00 - 18:00  8:00 - 14:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת מכון להתפתחות הילד
כוכב השחר,לאומית שירותי בריאות,02-9942938,"Opening_hours   שעות פעילות  יום א' יום ב' יום ג' יום ד' יום ה' יום ו'   7:30 - 13:30, 15:30 - 18:30  7:30 - 15:30  7:30 - 14:30  7:30 - 16:00  7:30 - 13:15, 19:30 - 22:30  8:00 - 10:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת
כוכב יאיר,לאומית שירותי בריאות,09-7499700,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד', ו'   8:00 - 12:00, 16:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת פיזיותרפיה
כוכב יעקב,לאומית שירותי בריאות,02-9974263,"Opening_hours   שעות פעילות  יום א' ימים ב', ג' יום ד' יום ה' יום ו'   8:00 - 13:00, 14:00 - 17:00  8:00 - 13:00  8:00 - 13:00, 14:00 - 18:00  8:00 - 16:00  8:00 - 10:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת
כוכב מיכאל,שירותי בריאות כללית,08-6728746,"Opening_hours   שעות פעילות  ימים א', ד' יום ב' יום ג' יום ה'   8:00 - 12:00  12:00 - 15:00  14:00 - 17:00  8:00 - 14:00   צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה  נגישות לנכים
כיסופים,שירותי בריאות כללית,08-9928800,Opening_hours   שעות פעילות  יום א' יום ב' יום ג' יום ה'   8:00 - 14:00  8:00 - 11:30  9:30 - 15:30  12:00 - 17:00   צפה בשעות הפעילות, טיפת חלב בדיקות מעבדה  נגישות לנכים
"ככר יהלום 1, מעלה אדומים",שירותי בריאות כללית,02-5359111,"Opening_hours ייפתח ביום ה' ב-7:30  שעות פעילות  ימים א', ה' ימים ב', ג' יום ד' יום ו'   7:30 - 19:45  7:30 - 18:45  7:30 - 11:45  7:30 - 12:00  
חוה""מ:	08:00 - 12:45
ערב חג:	08:00 - 11:45
חג:	00:00 - 01:00  צפה בשעות הפעילות", בדיקות מעבדה בדיקומט  נגישות לנכים
"ככר יהלום 891, מעלה אדומים",מכבי שירותי בריאות,02-5913200,"Opening_hours   שעות פעילות  ימים א', ג' - ה' ימים ב', ו'   8:00 - 12:00, 16:00 - 18:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה אולטרה סאונד מכון להתפתחות הילד  שירותים סוציאליים
"ככר קפלן 3, באר שבע",שירותי בריאות כללית,08-6201222,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת  נגישות לנכים
"כלב בן יפונה, קרית ארבע",מאוחדת,02-9967888,"Opening_hours   שעות פעילות  ימים א', ב', ד', ה' יום ג' יום ו'   8:00 - 17:30  8:00 - 12:30  8:00 - 11:30   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת אולטרה סאונד מוניטור פיזיותרפיה מרפאת נשים   עוד פרטים  שירותים סוציאליים יועצי תזונה שירותי אופטומטריה
"כנפי נשרים 13, ירושלים",מאוחדת,02-6302222,Opening_hours פתוח  עד 19:00  שעות פעילות  ימים א' - ה'   8:00 - 19:00   צפה בשעות הפעילות, מכון להתפתחות הילד פיזיותרפיה  שירותים סוציאליים ריפוי בעיסוק
כנרת - קבוצה,שירותי בריאות כללית,04-6759565,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:00 - 14:00  7:00 - 13:00   צפה בשעות הפעילות, טיפת חלב בדיקות מעבדה  נגישות לנכים
"כנרת 71, אשדוד, מרכז אלמוג, רובע י""א",לאומית שירותי בריאות,08-8687600,"Opening_hours   שעות פעילות  ימים א', ב', ד' ימים ג', ה', ו'   8:00 - 13:00, 16:00 - 19:00  8:00 - 13:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת
כסיפה,לאומית שירותי בריאות,08-9979241,"Opening_hours   שעות פעילות  ימים א', ג' יום ב' יום ד' יום ה' יום ו'   8:00 - 19:00  8:00 - 15:30  8:00 - 12:30  8:00 - 12:30, 16:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת מכון רנטגן אולטרה סאונד פיזיותרפיה שירותי רפואה דחופה   עוד פרטים  שירותים סוציאליים
כסיפה,מכבי שירותי בריאות,08-9955502,"Opening_hours ייפתח ב-16:00  שעות פעילות  ימים א', ב', ה' יום ג' יום ד'   8:00 - 12:00, 16:00 - 19:00  8:00 - 15:00  16:00 - 19:00, 16:00 - 19:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  שירותים סוציאליים
"כסיפה, א'",שירותי בריאות כללית,08-9553222,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה  שירות מעקב היריון נגישות לנכים
"כסיפה, ב' ,בית 40 ליד המסגד הגדול",שירותי בריאות כללית,08-9974081,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת
"כסיפה, ד'",שירותי בריאות כללית,08-9975580,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת מכון רנטגן  נגישות לנכים
"כסלו 60, מודיעין",מכבי שירותי בריאות,08-6866370,"Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 12:30, 16:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות", בדיקות מעבדה
"כסלו 60, מודיעין",שירותי בריאות כללית,08-6308910,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת
כסרא,לאומית שירותי בריאות,04-9872321,Opening_hours   שעות פעילות  ימים א' - ה'   8:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה אולטרה סאונד מכון ממוגרפיה
כסרא,לאומית שירותי בריאות,04-9974127,Opening_hours   שעות פעילות  יום א' יום ב' יום ג' יום ד' יום ה'   13:00 - 15:45  16:00 - 19:00  7:30 - 13:00  11:00 - 14:00  13:00 - 16:00   צפה בשעות הפעילות, בדיקות מעבדה בית מרקחת מכון רנטגן מכון ממוגרפיה
כסרא,שירותי בריאות כללית,04-9977506,"Opening_hours   שעות פעילות  יום א' יום ב' ימים ג', ה' יום ד'   7:30 - 10:00  8:00 - 11:00  15:00 - 19:00  12:00 - 14:00   צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת  נגישות לנכים
"כסרא, מרכז הכפר",שירותי בריאות כללית,04-6641090,"Opening_hours   שעות פעילות  ימים א', ג', ה' יום ב' יום ד' יום ו'   10:00 - 16:00  11:00 - 18:00  7:00 - 14:00  8:00 - 12:00   צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת  נגישות לנכים
"כפר ביל""ו",שירותי בריאות כללית,08-9415427,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה
כפר בלום,שירותי בריאות כללית,04-6948527,"Opening_hours   שעות פעילות  ימים א', ב', ה' יום ג' יום ד' יום ו'   7:00 - 14:00  7:00 - 8:30, 13:00 - 17:00  7:00 - 13:00, 16:30 - 17:30  7:00 - 10:00   צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה  נגישות לנכים
כפר ברא,שירותי בריאות כללית,03-9154202,"Opening_hours   שעות פעילות  ימים א', ג' ימים ב', ה' יום ד' יום ו'   7:30 - 13:00, 16:00 - 19:00  7:30 - 14:00  7:30 - 13:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  נגישות לנכים
כפר גליקסון,שירותי בריאות כללית,04-6307248,"Opening_hours   שעות פעילות  יום ב' יום ה'   10:30 - 12:00  15:30 - 17:00  חוה""מ:	 08:00 - 12:00
ערב חג:09:00 - 12:00  צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת  טיפול בתאונות עבודה שירותי ביקור בית
כפר המכבי,שירותי בריאות כללית,04-8458745,"Opening_hours   שעות פעילות  ימים א', ג' - ה' יום ב'   8:00 - 16:00  12:00 - 19:00   צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה  נגישות לנכים
כפר הנגיד,שירותי בריאות כללית,08-9438746,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה
כפר הנשיא,שירותי בריאות כללית,04-6914962,"Opening_hours פתוח  עד 17:00  שעות פעילות  יום א' ימים ב', ה' יום ג' יום ד'   10:00 - 17:00  7:30 - 12:00  8:00 - 12:00  8:00 - 17:00   צפה בשעות הפעילות", בדיקות מעבדה  נגישות לנכים
כפר הס,שירותי בריאות כללית,09-7963661,"Opening_hours ייפתח ביום ה' ב-10:30  שעות פעילות  יום א' יום ג' יום ה' יום ו'   8:00 - 9:30, 16:00 - 19:00  7:30 - 11:00  10:30 - 11:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת  טיפול בתאונות עבודה שירותי ביקור בית
"כפר הרא""ה",שירותי בריאות כללית,04-6365431,"Opening_hours   שעות פעילות  ימים א', ג' יום ב' יום ה'   7:00 - 14:00  18:00 - 22:00  11:30 - 15:30   צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה בית מרקחת  טיפול בתאונות עבודה שירותי ביקור בית נגישות לנכים
"כפר הרי""ף",שירותי בריאות כללית,08-8580414,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה
"כפר ורדים, מרכז מסחרי",מכבי שירותי בריאות,04-9570156,"Opening_hours ייפתח ב-16:00  שעות פעילות  ימים א' - ה' יום ו'   8:30 - 13:00, 16:00 - 19:00  8:30 - 12:00   צפה בשעות הפעילות", שירות אחיות
"כפר ורדים, מרכז מסחרי",שירותי בריאות כללית,04-9971187,"Opening_hours   שעות פעילות  יום א' יום ב' יום ג' ימים ד', ו' יום ה'   8:00 - 15:00  11:00 - 19:00  8:00 - 17:00  8:00 - 12:00  8:00 - 19:00  חוה""מ:	08:00 - 13:00
ערב חג:	08:00 - 12:00  צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה  נגישות לנכים
כפר זיתים,שירותי בריאות כללית,04-6793794,"Opening_hours   שעות פעילות  יום א' ימים ב', ג', ה' יום ד'   11:00 - 14:30  7:30 - 10:30  16:30 - 19:30   צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה
כפר חיטים,שירותי בריאות כללית,04-6731827,Opening_hours   שעות פעילות  יום א' יום ג' יום ד'   14:00 - 15:00  14:00 - 17:00  7:30 - 12:30   צפה בשעות הפעילות, בדיקות מעבדה
כפר חרוב,שירותי בריאות כללית,04-6761824,"Opening_hours   שעות פעילות  יום א' יום ב' יום ג' יום ו'   7:30 - 14:00  8:00 - 11:00, 15:00 - 16:00  7:30 - 9:00, 16:00 - 21:00  8:00 - 12:00   צפה בשעות הפעילות", בדיקות מעבדה
כפר יאסיף,מכבי שירותי בריאות,04-9996135,"Opening_hours   שעות פעילות  ימים א', ב', ד', ה' ימים ג', שבת   8:00 - 12:00, 16:30 - 19:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה פיזיותרפיה  שירותים סוציאליים
כפר יהושע,שירותי בריאות כללית,04-9833796,"Opening_hours   שעות פעילות  יום א' יום ב' יום ג' יום ד' יום ה'   7:30 - 12:30  7:30 - 14:00, 16:00 - 17:30  8:00 - 12:30  8:00 - 12:00  11:45 - 13:00, 16:00 - 19:00  ערב חג:	08:00 - 11:00
  צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה  נגישות לנכים
כפר יחזקאל,שירותי בריאות כללית,04-6531876,Opening_hours ייפתח ביום ה' ב-8:00  שעות פעילות  יום א' יום ב' יום ג' יום ד' יום ה'   14:00 - 19:00  7:00 - 12:00  13:00 - 18:00  8:00 - 11:00  8:00 - 12:00  ערב חג:	08:00 - 11:00  צפה בשעות הפעילות, טיפת חלב בדיקות מעבדה  נגישות לנכים
כפר כמא,שירותי בריאות כללית,04-6621200,"Opening_hours   שעות פעילות  ימים א', ב' ימים ג', ה' יום ד'   7:30 - 14:00  12:00 - 18:45  7:30 - 12:45   צפה בשעות הפעילות", בדיקות מעבדה בדיקומט  נגישות לנכים
"כפר כנא, ליד המועצה המקומית",שירותי בריאות כללית,04-6413400,"Opening_hours   שעות פעילות  ימים א', ו' ימים ב', ג', ה' יום ד'   7:30 - 13:00  7:30 - 18:00  7:30 - 15:00   צפה בשעות הפעילות", בדיקות מעבדה בדיקומט
"כפר כנא, רח ראשי",לאומית שירותי בריאות,04-6516230,"Opening_hours ייפתח ב-16:00  שעות פעילות  ימים ב' - ה' יום ו' יום שבת   16:00 - 19:00  8:00 - 13:00, 16:00 - 19:00  8:00 - 13:00   צפה בשעות הפעילות", בדיקות מעבדה
כפר מימון,שירותי בריאות כללית,08-9942565,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה
כפר מנדא,מאוחדת,04-9863303,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, מרפאת נשים  יועצי תזונה
"כפר מנדא, בכניסה לכפר",שירותי בריאות כללית,04-9058400,"Opening_hours ייפתח ביום שבת ב-9:00  שעות פעילות  יום א' ימים ג', שבת   8:00 - 12:00  9:00 - 13:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת אינהלציה  נגישות לנכים
כפר מנחם,שירותי בריאות כללית,08-8508400,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה  נגישות לנכים
כפר מסריק,שירותי בריאות כללית,04-9854143,"Opening_hours   שעות פעילות  ימים א' - ג', ה' יום ד' יום ו'   7:00 - 14:00  7:00 - 18:00  7:00 - 12:00   צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה  נגישות לנכים
כפר מצר,מאוחדת,04-6935365,"Opening_hours ייפתח ביום ה' ב-12:00  שעות פעילות  יום א' ימים ב' - ד', שבת יום ה'   8:00 - 13:00  8:00 - 14:00  12:00 - 17:00   צפה בשעות הפעילות", שירות אחיות  יועצי תזונה
כפר עזה,שירותי בריאות כללית,08-6809777,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   6:30 - 15:00  6:30 - 12:00   צפה בשעות הפעילות, טיפת חלב בדיקות מעבדה  שירות מעקב היריון נגישות לנכים
כפר קאסם,שירותי בריאות כללית,03-9082300,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה  נגישות לנכים
